Funds,"Factsheet / Offering Material 
(via Fundinfo)","Fund Specific Materials 
(via Intranet) ",Fund Watch List,Base Ccy,Last Bloomberg Update,1 Mth Return (%),3 Mths Return (%),YTD Return (%),1 Yr Return (%),3 Yr Ann Return (%),5 Yr Ann Return (%),"3 Yr Ann Std Dev 
(%)",Inception Date,ISIN (base ccy),BB Ticker (base ccy),Other share classes available,Use of Derivatives (as a principal driver),Is this a High Yield Bond Fund (Yes/No),Risk Rating ,AR*,SG MAS Registered,SG Restricted,HK SFC Authorization,UK Registered,Offering In DIFC Allowed?*,UCITS,"Fund House Max Sales Charge
BOS Fee Schedule applies - Min USD375 Max up to 2% upfront fee",Investment Objective,Investment Tenor,Investment Time Horizon,"Dealing Frequency (Subscription)

Refer to Funds Identifier tab for Notice Period","Dealing Frequency (Redemption)

Refer to Funds Identifier tab for Notice Period",Loss Absorption Product,Complex Product,Remarks,
Nordea 1 - Stable Return EUR,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0227384020,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Nordea/Stable%20Return%20Fund,No,EUR,10/10/19,-0.82,0.36,6.7,5.17,0.34,2.33,4.38,11/2/05,LU0227384020,NABSRBE LX EQUITY,"EUR Acc , EUR Dis (Ann) , EUR Dis  (Mth) , USD Acc  (H) , USD Dis  (Mth) (H) , GBP Dis  (Mth) (H) , AUD Dis  (Mth) (H) , CHF Acc  (H) , NOK Acc , NOK Dis (Ann) , NOK Acc  (H) , SEK Acc , SEK Acc  (H) , SGD Acc  (H) , SGD Dis  (Mth) (H)",Yes,No,5,75%,Yes,Restricted,SFC Unauthorized,Authorized,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,Yes,, 
Schroder ISF Global Multi-Asset Income A Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0757359368,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Schroder/ISF%20Global%20Multi-Asset%20Income%20Fund,Yes,USD,10/10/19,-0.76,-0.31,7.59,4.9,2.78,1.46,4.41,4/18/2012,LU0757359368,SCHGMAA LX EQUITY,"USD Acc , USD Dis  (Mth) , EUR Acc  (H) , EUR Dis  (Qter) (H) , GBP Dis  (Mth) (H) , AUD Dis  (Mth) (H) , SGD Acc , SGD Dis  (Mth) , SGD Dis  (Mth) (H) , CNH Dis  (Mth) (H)",No,No,3,60%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Mixed Asset / Asset Allocation - Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Lion-Bank of Singapore Asian Income A Acc USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=SG9999014252,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Lion/Lion-BOS%20Asian%20Income%20Fund,No,USD,10/9/19,-1.16,-2.08,7.97,8.33,4.39,N/A,8.52,8/17/2015,SG9999014252,LCAIAUA SP EQUITY,"USD Acc , USD Dis  (Qter) , USD Dis  (Qter) , SGD Acc  (H) , SGD Dis  (Qter) (H) , SGD Dis  (Qter) (H) , AUD Dis  (Qter) (H) , AUD Dis  (Qter) (H)",No,No,3,70%,Yes,"Retail
(Authorized)",SFC Unauthorized,No,Yes,No,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,Yes,, 
Equity - Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Equity - Global Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Schroder ISF QEP Global Quality A Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0323591593,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Schroder/ISF%20QEP%20Global%20Quality%20Fund,No,USD,10/10/19,-1.81,-3.01,12.78,5.11,6.62,5.55,10.2,10/17/2007,LU0323591593,SCHGQAA LX EQUITY,"USD Acc , EUR Acc  ",No,No,3,0%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Equity - Global Blend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Goldman Sachs Global CORE Equity USD Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0234570918,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Goldman%20Sachs/Goldman%20Sachs%20Global%20CORE%20Equity%20Portfolio,No,USD,10/9/19,-2.28,-3.65,11.01,-0.32,8.84,7.91,12.85,11/21/2005,LU0234570918,GSCEQCA LX EQUITY,"USD Acc, USD Dis (Ann), EUR Acc",No,No,3,60%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,5.50%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Investec GSF Global Strategic Equity A Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0345770308,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Investec/Investec%20Global%20Strategic%20Equity%20Fund,No,USD,10/10/19,-2.91,-4.52,12.67,2.28,8.34,6.13,13.31,6/29/2007,LU0345770308,GUIPRAA LX EQUITY,"USD Acc , USD Acc  (H) , USD Dis (Ann) , EUR Acc , AUD Acc  (H)",No,No,3,0%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Morgan Stanley Global Brands A USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0119620416,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Morgan%20Stanley/Global%20Brands%20Fund,No,USD,10/10/19,-0.91,-3.08,18.77,13.42,13.32,10.58,9.97,10/30/2000,LU0119620416,MORGBRA LX EQUITY,"USD Acc , USD Dis (Semi-Ann) , EUR Acc  (H) , EUR Dis (Semi-Ann)(H) , CHF Acc  (H)",No,No,3,70%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,5.75%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Vontobel Fund - Global Equity USD B,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0218910536,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Vontobel/Global%20Equity%20Fund,No,USD,10/9/19,-1.23,-2.2,16.9,14.25,11.95,9.8,10.65,7/1/05,LU0218910536,VONGLVB LX EQUITY,"USD Acc , USD Dis (Ann) , EUR Acc  (H)",No,No,3,65%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,8.75%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Equity - Global Dividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
BGF Global Equity Income A2 USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0545039389,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Blackrock/BGF%20Global%20Equity%20Income%20Fund,No,USD,10/10/19,-2.35,-2.75,10.61,5.07,4.82,4.18,10.03,11/12/10,LU0545039389,BGFGEA2 LX EQUITY,"USD Acc , USD Dis  (Qter) , USD Dis  (Mth) , EUR Acc  (H) , EUR Dis  (Qter) (H) , EUR Dis (Ann) , SGD Acc  (H) , SGD Dis  (Qter) (H) , SGD Dis  (Qter) (H) , SGD Dis  (Mth) (H) , GBP Dis  (Qter) , PLN Acc  (H) , AUD Dis  (Mth) (H) , AUD Dis  (Mth) (H)",No,No,3,65%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Fidelity Funds - Global Dividend,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0772969993,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Fidelity/Fidelity%20Global%20Dividend,No,USD,10/10/19,0.22,-0.96,14.96,12.45,7.75,6.5,8.83,5/4/12,LU0772969993,FFGDAAU LX EQUITY,"USD Acc , USD Dis  (Mth) , USD Dis  (Qter) , SGD Dis  (Mth) , AUD Dis  (Mth) (H)",No,No,3,60%,Yes,"Retail
(Recognized)",SFC Authorized,No,Yes,Yes,5.25%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Equity - US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Equity - US Equity Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Vontobel Fund - US Equity USD B,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0035765741,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Vontobel/US%20Equity,No,USD,10/9/19,-2.37,-1.25,19.73,15.06,15.23,12.87,11.17,11/21/1991,LU0035765741,VONUVBI LX EQUITY,"USD Acc , USD Dis (Ann)",No,No,3,70%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,8.75%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Neuberger Berman US Multi Cap Opp USD 1 A Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE00B775SV38,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Neuberger%20Berman/US%20Multicap%20Opportunities%20Fund,No,USD,10/10/19,-2.41,-0.68,16.37,8.16,12.84,9.54,12.35,6/29/2012,IE00B775SV38,NBUSU1A ID EQUITY,"USD Acc , EUR Acc  (H) , SGD Acc  (H)",No,No,3,60%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Franklin US Opportunities A (acc) USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0109391861,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Templeton/FTIF-Franklin%20US%20Opportunities%20Fund,No,USD,10/10/19,-2.45,-6.68,20.34,10.64,14.24,10.98,14.17,4/3/00,LU0109391861,TEMAGAI LX EQUITY,"USD Acc , EUR Acc , EUR Acc  (H) , EUR Dis (Ann) , SGD Acc , SGD Acc  (H) , CHF Acc  (H) , HKD Acc , GBP Dis (Ann)",No,No,3,65%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Legg Mason ClearBridge US Aggr Growth A Acc USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE00B19Z9Z06,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Legg%20Mason/Legg%20Mason%20ClearBridge%20US%20Aggressive%20Growth%20Fund,Yes,USD,10/10/19,-5.05,-4.58,8.79,-3.07,5.15,3.46,16.9,4/20/2007,IE00B19Z9Z06,LCUAGAA ID EQUITY,"USD Acc , USD Dis (Ann) , EUR Acc , EUR Acc  (H) , AUD Acc  (H) , SGD Acc  (H) , GBP Acc  ",No,No,3,45%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Equity - US Mid Cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Robeco US Select Opportunities Equities D USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0674140396,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Robeco/US%20Select%20Opportunities%20Equities,No,USD,10/9/19,-4.58,-2.68,17.79,2.98,6.23,7.65,14.3,9/20/2011,LU0674140396,RUSOEDU LX EQUITY,"USD Acc , EUR Acc  (H) , USD Acc  ",No,No,3,65%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Equity - US Small Cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
JPM US Small Cap Growth A Acc USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0210535976,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/JP%20Morgan/JP%20Morgan%20US%20Small%20Cap%20Growth%20Fund,No,USD,10/10/19,-4.5,-6.16,18.54,2.39,15.25,12.03,19.56,3/31/2005,LU0210535976,JPUSAAU LX EQUITY,"USD Acc , USD Dis (Ann)",No,No,4,55%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Equity - Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Equity - Europe Dividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
BGF European Equity Income A2 EUR,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0562822386,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Blackrock/BGF%20European%20Equity%20Income%20Fund,No,EUR,10/10/19,-0.1,1.12,17.54,10.43,5.04,5.73,9.24,12/3/10,LU0562822386,BGFEEA2 LX EQUITY,"EUR Acc , EUR Dis (Ann) , EUR Dis  (Qter) , EUR Dis  (Mth) , USD Acc  (H) , USD Dis  (Qter) (H) , USD Dis  (Mth) (H) , USD Dis  (Mth) (H) , GBP Dis  (Mth) (H) , HKD Dis  (Mth) (H) , SGD Dis  (Mth) (H) , SGD Dis  (Mth) (H) , AUD Dis  (Mth) (H) , AUD Dis  (Mth) (H) , CAD Dis  (Mth) (H)",No,No,3,65%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Equity - Europe Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
"Wellington Strat European Equity Pf EUR D Acc
(subject to quota availability, please check before placing orders)",https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE00B8BPMF80,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Wellington/Strategic%20European%20Equity%20Portfolio,No,EUR,10/10/19,-2.13,-0.87,15.67,8.26,6.14,8.81,10.79,12/12/12,IE00B8BPMF80,WSEEBUH ID EQUITY,"EUR Acc , USD Acc , USD Acc  (H)",No,No,3,70%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,No max,Capital Appreciation,N/A,> 5 years,"Daily, but subject to quota availability, please check before placing orders.",Daily,No,No,"BOS Fee Schedule applies - Min USD375, Max up to 2% upfront fee", 
Equity - Europe Blend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
JPM Europe Dynamic A Acc EUR,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0210530662,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/JP%20Morgan/JPM%20Europe%20Dynamic%20Fund,No,EUR,10/10/19,-1.42,-2.43,13.09,3.81,3.33,4.2,11.25,3/31/2005,LU0210530662,JPEDAAE LX EQUITY,"EUR Acc , EUR Dis (Ann) , USD Acc , USD Acc  (H) , GBP Dis (Ann) , AUD Acc  (H) , HKD Acc  (H) , SGD Acc  (H)",No,No,3,70%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
JPM Europe Equity A Acc EUR,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0210530746,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/JP%20Morgan/JPM%20Europe%20Equity%20Fund,No,EUR,10/10/19,-1.97,-3.36,14.21,5.14,5.74,5.77,10.31,3/31/2005,LU0210530746,JPEQAAE LX EQUITY,"EUR Acc , USD Dis (Ann) , USD Acc , USD Acc  (H)",No,No,3,65%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Equity - Europe Small Caps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Oddo Avenir Europe CR-EUR,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=FR0000974149,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Oddo%20Avenir/Oddo%20Avenir%20Europe%20Fund,No,EUR,10/9/19,-2.66,-1.45,15.97,5.07,8.09,11.05,11.6,5/25/1999,FR0000974149,ODEUMIC FP EQUITY,"EUR Acc , EUR Dis (Ann) , USD Acc  (H)",No,No,4,60%,Yes,Restricted,SFC Unauthorized,No,Yes,Yes,4.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Schroder ISF European Smaller Companies A Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0106237406,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Schroder/ISF%20European%20Smaller%20Companies%20Fund,No,EUR,10/10/19,-5.2,-8.67,-3.28,-15.96,-1.5,4.12,13.29,1/17/2000,LU0106237406,SCHIESA LX EQUITY,"EUR Acc , EUR Dis (Ann) , USD Acc  (H)",No,No,4,65%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Equity - Europe Emerging Markets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Baring Eastern Europe A USD Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE00B6TJN447,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Barings/Baring%20Eastern%20Europe%20Fund,No,USD,10/10/19,-4.15,-8.32,14.52,14.95,7.36,2.86,16.56,3/29/2012,IE00B6TJN447,BREEAUA ID Equity,"USD Dis (Ann) , USD Acc , EUR Dis (Ann)",No,No,4,0%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Equity - Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Aberdeen Standard - Japanese Equity A2 Acc JPY,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0011963674,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Aberdeen/Aberdeen%20Global%20Japanese%20Equity%20Fund,Yes,JPY,10/10/19,2.48,2.96,10.24,-3.99,1.95,4.3,14.35,4/4/88,LU0011963674,AETJAEI LX EQUITY,"JPY Acc , EUR Acc  (H) , GBP Acc , CHF Acc  (H) , USD Acc , USD Acc  (H) , SGD Acc   ",No,No,3,60%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,6.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
JPMorgan Japan Equity A Acc JPY,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0235639324,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/JP%20Morgan/JP%20Morgan%20Japan%20Equity%20Fund,No,JPY,10/10/19,1.83,1.49,16.14,-0.81,9.64,10.92,15.52,1/11/06,LU0235639324,JPJEAAY LX EQUITY,"JPY Acc , USD Acc , USD Acc  (H) , USD Dis (Ann) , GBP Dis (Ann) , GBP Dis (Ann)(H) , EUR Acc , EUR Acc  (H) , SGD Dis (Ann)",No,No,3,60%,Yes,Restricted,SFC Unauthorized,No,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Equity Japan Small Cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Aberdeen Standard - Japanese Smaller Comp A2 JPY,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0278936439,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Aberdeen/Aberdeen%20Global%20Japanese%20Smaller%20Companies%20Fund,Yes,JPY,10/10/19,3.54,2.55,14.75,1.81,8.86,8.94,13.85,5/7/07,LU0278936439,AJSACJY LX EQUITY,"JPY Acc , EUR Acc  (H) , USD Acc  (H) , CHF Acc  (H) , GBP Acc  ",No,No,4,55%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,6.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Invesco Nippon Small/Mid Cap Equity A Acc JPY,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0028119526,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Invesco/Invesco%20Nippon,No,JPY,10/10/19,-0.14,-4.48,1.17,-13.65,7.14,8.68,17.07,1/2/91,LU0028119526,INVPNEI LX EQUITY,"JPY Acc , USD Dis (Ann) , USD Acc  (H)",No,No,4,55%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Equity - Asia ex-Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
BGF Asian Dragon A2 USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0072462343,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Blackrock/BGF%20Asian%20Dragon%20Fund,No,USD,10/10/19,-1.1,-3.03,9.11,13.12,5.49,5.7,15.36,1/2/97,LU0072462343,MERDGAI LX EQUITY,"USD Acc , EUR Acc , EUR Acc  (H) , GBP Acc , GBP Dis (Ann) , AUD Acc  (H) , CHF Acc  (H) , SGD Acc  (H)",No,No,4,45%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Equity - Asia ex-Japan Small/Mid Caps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Aberdeen Standard - Asian Smaller Comp A2 Acc USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0231459107,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Aberdeen/Aberdeen%20Global%20Asian%20Smaller%20Companies%20Fund,Yes,USD,10/10/19,-1.39,-3.8,8.21,10.4,3.22,-1.2,11.14,5/17/2004,LU0231459107,AGASMA2 LX EQUITY,"USD Acc , GBP Acc , EUR Acc , SGD Acc , USD Acc , USD Acc  ",No,No,4,50%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,6.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Schroder ISF Asian Smaller Companies A Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0227179875,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Schroder/ISF%20Asian%20Smaller%20Companies%20Fund,No,USD,10/10/19,-0.79,-2.1,1.26,3.28,-4,-1.66,12.63,9/16/2005,LU0227179875,SCHASAA LX EQUITY,USD Acc  ,No,No,4,0%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Equity - Asia ex Japan Dividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Schroder ISF Asian Equity Yield A Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0188438112,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Schroder/ISF%20Asian%20Equity%20Yield,No,USD,10/10/19,-3.39,-7.62,6.62,4.85,4.51,3.32,11.75,6/11/04,LU0188438112,SCHAEYA LX EQUITY,"USD Acc , USD Dis  (Mth) , EUR Acc , SGD Dis  (Mth) , SGD Dis  (Mth) ",No,No,4,65%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
First State Asian Equity Plus I,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE00B067MR52,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/First%20State/First%20State%20Asian%20Equity%20Plus,No,USD,10/10/19,-0.63,-2.6,8.28,12.13,9.45,7.31,11.05,2/25/2005,IE00B067MR52,FSTAEPA ID EQUITY,"USD Acc , USD Dis (Semi-Ann) , SGD Dis  (Qter) , SGD Dis  (Qter) ",No,No,4,55%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, 
Equity - ASEAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
