Funds,Factsheet / Offering Material (via Fundinfo),Fund Specific Materials (via Intranet),Fund Watch List,Base Ccy,Last Bloomberg Update,Latest NAV,1 Mth Return (%),3 Mths Return (%),YTD Return (%),1 Yr Return (%),3 Yr Ann Return (%),5 Yr Ann Return (%),3 Yr Ann Std Dev (%),Inception Date,ISIN (base ccy),BB Ticker (base ccy),Other share classes available,Use of Derivatives (as a principal driver),Is this a High Yield Bond Fund (Yes/No),Risk Rating,AR*,SG MAS Registered,SG Restricted,HK SFC Authorization,UK Registered,Offering In DIFC Allowed?*,UCITS,Fund House Max Sales ChargeBOS Fee Schedule applies - Min USD375 Max up to 2% upfront fee,Investment Objective,Investment Tenor,Investment Time Horizon,Dealing Frequency (Subscription)Refer to Funds Identifier tab for Notice Period,Dealing Frequency (Redemption)Refer to Funds Identifier tab for Notice Period,Loss Absorption Product,Complex Product,Remarks,Extra Remarks,,,,
JPM Global Macro Opportunities A Acc EUR,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0095938881,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/JP%20Morgan/JPM%20Global%20Macro%20Opportunities%20Fund,No,EUR,08-Nov-2019,183.22 ,(1.96),(2.45),(1.03),(1.36),3.29 ,3.92 ,7.22 ,10/23/1998,LU0095938881,JPMECAA LX Equity,"EUR Acc , EUR Dis (Ann) , USD Acc  (H) , SGD� Acc  (H) , AUD Acc  (H)",Yes,No,4,60%,Yes,"Retail
(Recognized)",SFC Unauthorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,Yes,Daily Liquidity,,,,,
Nordea 1 - Alpha 10 MA Fund EUR,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0445386369,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Nordea/Alpha%2010%20MA%20Fund,No,EUR,08-Nov-2019,12.27 ,(0.32),(0.32),6.33 ,4.34 ,2.07 ,4.85 ,5.70 ,9/30/2009,LU0445386369,NORMABP LX EQUITY,"EUR Acc , EUR Dis  (Mth) , EUR Dis (Ann) , USD Acc  (H) , USD Dis  (Mth) (H) , SEK Acc  (H) , NOK Acc  (H) , SGD Dis  (Mth) (H)",Yes,No,5,60%,Yes,Restricted,SFC Unauthorized,Authorized,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,Yes,,,,,,
Nordea 1 - Stable Return EUR,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0227384020,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Nordea/Stable%20Return%20Fund,No,EUR,08-Nov-2019,17.01 ,0.53 ,0.89 ,7.59 ,5.33 ,1.39 ,2.22 ,4.28 ,11/2/2005,LU0227384020,NABSRBE LX EQUITY,"EUR Acc , EUR Dis (Ann) , EUR Dis  (Mth) , USD Acc  (H) , USD Dis  (Mth) (H) , GBP Dis  (Mth) (H) , AUD Dis  (Mth) (H) , CHF Acc  (H) , NOK Acc , NOK Dis (Ann) , NOK Acc  (H) , SEK Acc , SEK Acc  (H) , SGD Acc  (H) , SGD Dis  (Mth) (H)",Yes,No,5,75%,Yes,Restricted,SFC Unauthorized,Authorized,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,Yes,,,,,,
Schroder ISF Global Multi-Asset Income A Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0757359368,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Schroder/ISF%20Global%20Multi-Asset%20Income%20Fund,Yes,USD,08-Nov-2019,127.92 ,1.57 ,2.41 ,9.75 ,6.71 ,3.90 ,1.53 ,4.42 ,4/18/2012,LU0757359368,SCHGMAA LX EQUITY,"USD Acc , USD Dis  (Mth) , EUR Acc  (H) , EUR Dis  (Qter) (H) , GBP Dis  (Mth) (H) , AUD Dis  (Mth) (H) , SGD Acc , SGD Dis  (Mth) , SGD Dis  (Mth) (H) , CNH Dis  (Mth) (H)",No,No,3,60%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
Mixed Asset / Asset Allocation - Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lion-Bank of Singapore Asian Income A Acc USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=SG9999014252,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Lion/Lion-BOS%20Asian%20Income%20Fund,No,USD,08-Nov-2019,1.32 ,2.95 ,5.33 ,12.63 ,11.73 ,6.66 ,N/A,8.57 ,8/17/2015,SG9999014252,LCAIAUA SP EQUITY,"USD Acc , USD Dis  (Qter) , USD Dis  (Qter) , SGD Acc  (H) , SGD Dis  (Qter) (H) , SGD Dis  (Qter) (H) , AUD Dis  (Qter) (H) , AUD Dis  (Qter) (H)",No,No,3,70%,Yes,"Retail
(Authorized)",SFC Unauthorized,No,Yes,No,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,Yes,,,,,,
Equity - Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equity - Global Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schroder ISF QEP Global Quality A Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0323591593,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Schroder/ISF%20QEP%20Global%20Quality%20Fund,No,USD,08-Nov-2019,173.57 ,4.05 ,5.68 ,19.15 ,11.09 ,9.13 ,5.78 ,10.08 ,10/17/2007,LU0323591593,SCHGQAA LX EQUITY,"USD Acc , EUR Acc  ",No,No,3,0%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
Equity - Global Blend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldman Sachs Global CORE Equity USD Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0234570918,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Goldman%20Sachs/Goldman%20Sachs%20Global%20CORE%20Equity%20Portfolio,No,USD,07-Nov-2019,23.08 ,3.54 ,4.91 ,17.10 ,5.24 ,10.56 ,7.71 ,12.79 ,11/21/2005,LU0234570918,GSCEQCA LX EQUITY,"USD Acc, USD Dis (Ann), EUR Acc",No,No,3,60%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,5.50%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
Investec GSF Global Strategic Equity A Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0345770308,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Investec/Investec%20Global%20Strategic%20Equity%20Fund,No,USD,08-Nov-2019,29.82 ,3.83 ,4.96 ,18.94 ,6.81 ,10.44 ,5.88 ,13.25 ,6/29/2007,LU0345770308,GUIPRAA LX EQUITY,"USD Acc , USD Acc  (H) , USD Dis (Ann) , EUR Acc , AUD Acc  (H)",No,No,3,0%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
Morgan Stanley Global Brands A USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0119620416,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Morgan%20Stanley/Global%20Brands%20Fund,No,USD,08-Nov-2019,150.90 ,0.07 ,0.41 ,20.72 ,12.70 ,15.03 ,10.06 ,9.79 ,10/30/2000,LU0119620416,MORGBRA LX EQUITY,"USD Acc , USD Dis (Semi-Ann) , EUR Acc  (H) , EUR Dis (Semi-Ann)(H) , CHF Acc  (H)",No,No,3,70%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,5.75%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
Vontobel Fund - Global Equity USD B,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0218910536,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Vontobel/Global%20Equity%20Fund,No,USD,07-Nov-2019,314.70 ,1.92 ,3.04 ,20.25 ,14.04 ,13.36 ,8.92 ,10.56 ,7/1/2005,LU0218910536,VONGLVB LX EQUITY,"USD Acc , USD Dis (Ann) , EUR Acc  (H)",No,No,3,65%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,8.75%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
Equity - Global Dividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGF Global Equity Income A2 USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0545039389,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Blackrock/BGF%20Global%20Equity%20Income%20Fund,No,USD,08-Nov-2019,17.79 ,3.43 ,3.91 ,15.74 ,7.23 ,7.38 ,4.48 ,9.78 ,11/12/2010,LU0545039389,BGFGEA2 LX EQUITY,"USD Acc , USD Dis  (Qter) , USD Dis  (Mth) , EUR Acc  (H) , EUR Dis  (Qter) (H) , EUR Dis (Ann) , SGD Acc  (H) , SGD Dis  (Qter) (H) , SGD Dis  (Qter) (H) , SGD Dis  (Mth) (H) , GBP Dis  (Qter) , PLN Acc  (H) , AUD Dis  (Mth) (H) , AUD Dis  (Mth) (H)",No,No,3,65%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
Fidelity Funds - Global Dividend,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0772969993,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Fidelity/Fidelity%20Global%20Dividend,No,USD,08-Nov-2019,19.28 ,2.23 ,6.11 ,19.16 ,14.56 ,10.40 ,6.24 ,8.50 ,5/4/2012,LU0772969993,FFGDAAU LX EQUITY,"USD Acc , USD Dis  (Mth) , USD Dis  (Qter) , SGD Dis  (Mth) , AUD Dis  (Mth) (H)",No,No,3,60%,Yes,"Retail
(Recognized)",SFC Authorized,No,Yes,Yes,5.25%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
Equity - US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equity - US Equity Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vontobel Fund - US Equity USD B,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0035765741,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Vontobel/US%20Equity,No,USD,07-Nov-2019,1479.24 ,1.41 ,2.33 ,22.73 ,12.68 ,15.23 ,11.80 ,11.14 ,11/21/1991,LU0035765741,VONUVBI LX EQUITY,"USD Acc , USD Dis (Ann)",No,No,3,70%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,8.75%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
Neuberger Berman US Multi Cap Opp USD 1 A Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE00B775SV38,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Neuberger%20Berman/US%20Multicap%20Opportunities%20Fund,No,USD,08-Nov-2019,24.52 ,3.33 ,6.10 ,21.63 ,10.00 ,13.19 ,8.83 ,12.27 ,6/29/2012,IE00B775SV38,NBUSU1A ID EQUITY,"USD Acc , EUR Acc  (H) , SGD Acc  (H)",No,No,3,60%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
Franklin US Opportunities A (acc) USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0109391861,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Templeton/FTIF-Franklin%20US%20Opportunities%20Fund,No,USD,08-Nov-2019,18.47 ,2.16 ,0.05 ,24.12 ,12.97 ,15.88 ,9.80 ,14.01 ,4/3/2000,LU0109391861,TEMAGAI LX EQUITY,"USD Acc , EUR Acc , EUR Acc  (H) , EUR Dis (Ann) , SGD Acc , SGD Acc  (H) , CHF Acc  (H) , HKD Acc , GBP Dis (Ann)",No,No,3,65%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
Legg Mason ClearBridge US Aggr Growth A Acc USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE00B19Z9Z06,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Legg%20Mason/Legg%20Mason%20ClearBridge%20US%20Aggressive%20Growth%20Fund,Yes,USD,08-Nov-2019,204.79 ,6.24 ,5.69 ,17.15 ,3.71 ,7.37 ,3.66 ,16.35 ,4/20/2007,IE00B19Z9Z06,LCUAGAA ID EQUITY,"USD Acc , USD Dis (Ann) , EUR Acc , EUR Acc  (H) , AUD Acc  (H) , SGD Acc  (H) , GBP Acc  ",No,No,3,45%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
Equity - US Mid Cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robeco US Select Opportunities Equities D USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0674140396,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Robeco/US%20Select%20Opportunities%20Equities,No,USD,07-Nov-2019,264.69 ,3.97 ,4.89 ,24.87 ,9.45 ,7.67 ,6.90 ,14.07 ,9/20/2011,LU0674140396,RUSOEDU LX EQUITY,"USD Acc , EUR Acc  (H) , USD Acc  ",No,No,3,65%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
Equity - US Small Cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPM US Small Cap Growth A Acc USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0210535976,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/JP%20Morgan/JP%20Morgan%20US%20Small%20Cap%20Growth%20Fund,No,USD,08-Nov-2019,35.60 ,6.40 ,3.64 ,28.15 ,12.98 ,19.37 ,11.57 ,19.06 ,3/31/2005,LU0210535976,JPUSAAU LX EQUITY,"USD Acc , USD Dis (Ann)",No,No,4,55%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
Equity - Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equity - Europe Dividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGF European Equity Income A2 EUR,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0562822386,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Blackrock/BGF%20European%20Equity%20Income%20Fund,No,EUR,08-Nov-2019,20.86 ,2.86 ,8.65 ,23.21 ,14.62 ,7.80 ,5.58 ,9.13 ,12/3/2010,LU0562822386,BGFEEA2 LX EQUITY,"EUR Acc , EUR Dis (Ann) , EUR Dis  (Qter) , EUR Dis  (Mth) , USD Acc  (H) , USD Dis  (Qter) (H) , USD Dis  (Mth) (H) , USD Dis  (Mth) (H) , GBP Dis  (Mth) (H) , HKD Dis  (Mth) (H) , SGD Dis  (Mth) (H) , SGD Dis  (Mth) (H) , AUD Dis  (Mth) (H) , AUD Dis  (Mth) (H) , CAD Dis  (Mth) (H)",No,No,3,65%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
Equity - Europe Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wellington Strat European Equity Pf EUR D Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE00B8BPMF80,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Wellington/Strategic%20European%20Equity%20Portfolio,No,EUR,08-Nov-2019,19.04 ,5.13 ,10.31 ,24.03 ,15.12 ,9.21 ,8.77 ,10.59 ,12/12/2012,IE00B8BPMF80,WSEEBUH ID EQUITY,"EUR Acc , USD Acc , USD Acc  (H)",No,No,3,70%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,No max,Capital Appreciation,N/A,> 5 years,"Daily, but subject to quota availability, please check before placing orders.",Daily,No,No,"BOS Fee Schedule applies - Min USD375, Max up to 2% upfront fee","(subject to quota availability, please check before placing orders)",,,,
Equity - Europe Blend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPM Europe Dynamic A Acc EUR,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0210530662,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/JP%20Morgan/JPM%20Europe%20Dynamic%20Fund,No,EUR,08-Nov-2019,24.26 ,3.85 ,9.13 ,19.86 ,9.97 ,5.26 ,4.49 ,11.27 ,3/31/2005,LU0210530662,JPEDAAE LX EQUITY,"EUR Acc , EUR Dis (Ann) , USD Acc , USD Acc  (H) , GBP Dis (Ann) , AUD Acc  (H) , HKD Acc  (H) , SGD Acc  (H)",No,No,3,70%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
JPM Europe Equity A Acc EUR,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0210530746,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/JP%20Morgan/JPM%20Europe%20Equity%20Fund,No,EUR,08-Nov-2019,19.44 ,3.24 ,7.58 ,20.60 ,9.15 ,7.93 ,6.11 ,10.31 ,3/31/2005,LU0210530746,JPEQAAE LX EQUITY,"EUR Acc , USD Dis (Ann) , USD Acc , USD Acc  (H)",No,No,3,65%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
Equity - Europe Small Caps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oddo Avenir Europe CR-EUR,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=FR0000974149,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Oddo%20Avenir/Oddo%20Avenir%20Europe%20Fund,No,EUR,07-Nov-2019,610.14 ,5.43 ,8.23 ,24.97 ,13.82 ,11.44 ,11.55 ,11.51 ,5/25/1999,FR0000974149,ODEUMIC FP EQUITY,"EUR Acc , EUR Dis (Ann) , USD Acc  (H)",No,No,4,60%,Yes,Restricted,SFC Unauthorized,No,Yes,Yes,4.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
Schroder ISF European Smaller Companies A Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0106237406,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Schroder/ISF%20European%20Smaller%20Companies%20Fund,No,EUR,08-Nov-2019,37.89 ,5.54 ,5.94 ,5.45 ,(8.00),1.58 ,4.80 ,13.34 ,1/17/2000,LU0106237406,SCHIESA LX EQUITY,"EUR Acc , EUR Dis (Ann) , USD Acc  (H)",No,No,4,65%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
Equity - Europe Emerging Markets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baring Eastern Europe A USD Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE00B6TJN447,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Barings/Baring%20Eastern%20Europe%20Fund,No,USD,08-Nov-2019,103.44 ,8.55 ,7.04 ,26.30 ,22.26 ,12.44 ,5.23 ,16.67 ,3/29/2012,IE00B6TJN447,BREEAUA ID Equity,"USD Dis (Ann) , USD Acc , EUR Dis (Ann)",No,No,4,0%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
Equity - Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen Standard - Japanese Equity A2 Acc JPY,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0011963674,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Aberdeen/Aberdeen%20Global%20Japanese%20Equity%20Fund,Yes,JPY,08-Nov-2019,493.35 ,6.88 ,15.41 ,18.69 ,6.63 ,4.71 ,3.70 ,14.46 ,4/4/1988,LU0011963674,AETJAEI LX EQUITY,"JPY Acc , EUR Acc  (H) , GBP Acc , CHF Acc  (H) , USD Acc , USD Acc  (H) , SGD Acc   ",No,No,3,60%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,6.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
JPMorgan Japan Equity A Acc JPY,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0235639324,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/JP%20Morgan/JP%20Morgan%20Japan%20Equity%20Fund,No,JPY,08-Nov-2019,1291.00 ,5.73 ,9.50 ,22.60 ,8.03 ,12.61 ,9.55 ,15.59 ,1/11/2006,LU0235639324,JPJEAAY LX EQUITY,"JPY Acc , USD Acc , USD Acc  (H) , USD Dis (Ann) , GBP Dis (Ann) , GBP Dis (Ann)(H) , EUR Acc , EUR Acc  (H) , SGD Dis (Ann)",No,No,3,60%,Yes,Restricted,SFC Unauthorized,No,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
Equity Japan Small Cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen Standard - Japanese Smaller Comp A2 JPY,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0278936439,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Aberdeen/Aberdeen%20Global%20Japanese%20Smaller%20Companies%20Fund,Yes,JPY,08-Nov-2019,1696.04 ,5.60 ,13.07 ,21.38 ,8.92 ,11.20 ,7.96 ,13.97 ,5/7/2007,LU0278936439,AJSACJY LX EQUITY,"JPY Acc , EUR Acc  (H) , USD Acc  (H) , CHF Acc  (H) , GBP Acc  ",No,No,4,55%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,6.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
Invesco Nippon Small/Mid Cap Equity A Acc JPY,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0028119526,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Invesco/Invesco%20Nippon,No,JPY,08-Nov-2019,1460.00 ,5.72 ,3.91 ,6.65 ,(8.18),9.53 ,8.14 ,17.14 ,1/2/1991,LU0028119526,INVPNEI LX EQUITY,"JPY Acc , USD Dis (Ann) , USD Acc  (H)",No,No,4,55%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
Equity - Asia ex-Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGF Asian Dragon A2 USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0072462343,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Blackrock/BGF%20Asian%20Dragon%20Fund,No,USD,08-Nov-2019,43.85 ,4.80 ,10.62 ,15.85 ,15.82 ,9.56 ,6.51 ,15.38 ,1/2/1997,LU0072462343,MERDGAI LX EQUITY,"USD Acc , EUR Acc , EUR Acc  (H) , GBP Acc , GBP Dis (Ann) , AUD Acc  (H) , CHF Acc  (H) , SGD Acc  (H)",No,No,4,45%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,,,,,
Equity - Asia ex-Japan Small/Mid Caps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
